N_EXPEDIEN;F_EXPEDIEN;CALLE;ALTURA;DIRECCION;SMP;M2;FECHA_ESTA;DESTINO;ZONIFICACI;TIPO_OBRA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
1.266.334/2009;13/10/2009 00:00;BARROS PAZOS, JOSE;5644;BARROS PAZOS, JOSE 5644;082-109-019;384.48;12/7/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA LUGANO;COMUNA 8;1439;C1439CJF;-34.67987479557183;-58.47091756667282
1.271.309/2009;13/10/2009 00:00;BLANCO ENCALADA;4541;BLANCO ENCALADA 4541;051-079-023A;6424.68;11/11/2013 00:00;;;OBRA NUEVA;VILLA URQUIZA;COMUNA 12;1431;C1431CDC;-34.572231555733666;-58.48087569166926
1.273.954/2009;14/10/2009 00:00;GODOY CRUZ;2987;GODOY CRUZ 2987;021-054-001C;15.105,28;10/9/2013 00:00;MULTIVIVIENDA;R2A I;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1425;C1425FQO;-34.575767153588565;-58.42248413611668
1.276.763/2009;15/10/2009 00:00;ACOYTE AV.;580;ACOYTE AV. 580;045-073A-0FRT;22629.52;16/9/2013 00:00;MULTIVIVIENDA;C3 I;;CABALLITO;COMUNA 6;1405;C1405BGQ;-34.61188193948758;-58.43889695702724
1.282.478/2009;16/10/2009 00:00;SOLIS;1915;SOLIS 1915;016-017-042;103.73;26/7/2012 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;CONSTITUCION;COMUNA 1;1134;C1134ADO;-34.63048286827942;-58.389180851335006
1.283.960/2009;16/10/2009 00:00;TERRADA;4240;TERRADA 4240;073-026-009;479.65;20/1/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA PUEYRREDON;COMUNA 12;1419;C1419DKL;-34.58900765489102;-58.498030888448966
1.284.611/2009;16/10/2009 00:00;FRIAS, EUSTOQUIO, TTE. GENERAL;555;FRIAS, EUSTOQUIO, TTE. GENERAL 555;031-035-004;2224.47;4/7/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA CRESPO;COMUNA 15;1414;C1414DVK;-34.60065048914733;-58.43182842913551
1.288.278/2009;19/10/2009 00:00;SERRANO;366;SERRANO 366;047-157-027;1701.50;29/11/2011 00:00;;R2A II;DEMOLICION TOTAL Y OBRA;VILLA CRESPO;COMUNA 15;1414;C1414DEH;-34.59749959332793;-58.44408807348439
1.288.278/2009;19/10/2009 00:00;SERRANO;366;SERRANO 366;047-157-027;1701.50;8/5/2013 00:00;;R2A II;DEMOLICION TOTAL Y OBRA;VILLA CRESPO;COMUNA 15;1414;C1414DEH;-34.59749959332793;-58.44408807348439
1.288.278/2009;19/10/2009 00:00;SERRANO;366;SERRANO 366;047-157-027;1701.50;21/5/2013 00:00;;R2A II;DEMOLICION TOTAL Y OBRA;VILLA CRESPO;COMUNA 15;1414;C1414DEH;-34.59749959332793;-58.44408807348439
1.289.460/2009;19/10/2009 00:00;RIO CUARTO;3270;RIO CUARTO 3270;026-021E-008;276.56;21/5/2013 00:00;;;OBRA NUEVA;BARRACAS;COMUNA 4;1292;C1292ABV;-34.65272746846374;-58.393527041578025
1.289.519/2009;19/10/2009 00:00;LACROZE, FEDERICO AV.;3229;LACROZE, FEDERICO AV. 3229;037-048-011C;30.73;10/1/2014 00:00;;;DEMOLICION TOTAL Y OBRA;COLEGIALES;COMUNA 13;1426;C1426CQF;-34.578300052330235;-58.44972101625207
1.298.230/2009;21/10/2009 00:00;CABRER, CNEL.;4986;CABRER, CNEL. 4986;019-017A-007A;199.44;18/6/2013 00:00;MULTIVIVIENDA;R2B I;OBRA NUEVA;PALERMO;COMUNA 14;1414;C1414BIB;-34.589879512542026;-58.43149517204429
